GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payments-service,com.example.shop.orders,OrderServiceApp,8,0,0,0,3,0,2,0,2,0
payments-service,com.example.shop.orders.service,OutboxPublisher,62,0,2,0,17,0,4,0,3,0
payments-service,com.example.shop.orders.service,PaymentResultListener,42,0,0,0,12,0,3,0,3,0
payments-service,com.example.shop.orders.service,OrderServiceImp,152,0,2,0,24,0,9,0,8,0
payments-service,com.example.shop.orders.config,KafkaConfig,34,0,0,0,7,0,3,0,3,0
payments-service,com.example.shop.orders.entity,Order,56,0,0,0,23,0,12,0,12,0
payments-service,com.example.shop.orders.entity,OutboxEvent,46,0,0,0,19,0,10,0,10,0
payments-service,com.example.shop.orders.controller,OrderController,35,0,0,0,9,0,4,0,4,0
